pH_before,TDS_before,Turbidity_before,Temperature_before,Pressure_before,pH_after,TDS_after,Turbidity_after,Temperature_after,Efficiency,TDS_Reduction,Turbidity_Reduction,pH_Change,Water_Status,Membrane_Status
7.16,994,23.91,19,3.83,7.44,142,4.19,19.3,85.71,852,19.72,0.28,Poor,Healthy
7.19,2268,2.03,18.8,1.45,6.83,1061,0.12,18,53.22,1207,1.91,-0.36,Poor,Replace
8.19,3171,40.69,15.9,1.94,6.57,276,5.9,15.6,91.3,2895,34.79,-1.62,Poor,Healthy
8.18,4765,32.59,32.1,4.02,7,2698,5.22,31.7,43.38,2067,27.37,-1.18,Poor,Replace
7.35,1108,15.11,39.7,2.21,6.75,651,1.88,39.7,41.25,457,13.23,-0.6,Acceptable,Replace
7.18,2219,20.21,22.8,3.14,6.65,422,4.5,23.3,80.98,1797,15.71,-0.53,Poor,Needs Cleaning
8.63,1726,28.54,29.5,1.82,6.83,825,2.66,29,52.2,901,25.88,-1.8,Acceptable,Replace
7.31,1652,45.84,20.8,5.93,6.71,787,5.98,21.6,52.36,865,39.86,-0.6,Poor,Replace
8.12,1489,9.01,15.4,5.57,6.76,268,1.33,15,82,1221,7.68,-1.36,Acceptable,Needs Cleaning
7.93,1922,22.07,32.8,5.64,7.28,1328,5.98,33.5,30.91,594,16.09,-0.65,Poor,Replace
8.67,4193,34.34,26,2.1,7.19,2563,4,25.5,38.87,1630,30.34,-1.48,Poor,Replace
8.15,2604,21.54,24.2,4.37,7.32,267,5.79,24.4,89.75,2337,15.75,-0.83,Poor,Healthy
8.62,4379,47.16,17.7,5.45,7.27,3031,3.35,17.6,30.78,1348,43.81,-1.35,Poor,Replace
6.83,2058,25.22,36.8,1.21,6.78,439,1.62,36.2,78.67,1619,23.6,-0.05,Acceptable,Needs Cleaning
7.66,658,42.27,28.9,4.32,6.82,50,3.24,29.7,92.4,608,39.03,-0.84,Poor,Healthy
8.24,2797,3.57,31,5.76,6.89,1926,0.34,30.4,31.14,871,3.23,-1.35,Poor,Replace
8.49,4470,42.28,20.5,4.74,7.42,2834,9.3,19.7,36.6,1636,32.98,-1.07,Poor,Replace
6.68,2621,48.33,17.2,2.25,7.45,259,6.42,17,90.12,2362,41.91,0.77,Poor,Healthy
8.61,2593,42.17,29.8,1.74,6.67,250,9.29,29.5,90.36,2343,32.88,-1.94,Poor,Healthy
7.08,2804,31.12,17.3,5.56,7.08,659,4.2,16.7,76.5,2145,26.92,0,Poor,Needs Cleaning
7.31,4824,35.11,21,3.6,6.83,492,8.8,20.5,89.8,4332,26.31,-0.48,Poor,Healthy
8.61,4029,1.63,21.1,5.37,7.27,2534,0.37,21.4,37.11,1495,1.26,-1.34,Poor,Replace
6.69,4098,45,17.4,1.13,7.03,1620,2.35,17,60.47,2478,42.65,0.34,Poor,Needs Cleaning
7.39,3368,15.06,18.7,4.65,7.39,188,1.71,18.9,94.42,3180,13.35,0,Acceptable,Healthy
7.81,1772,26.75,18.8,4.87,7.47,102,3.62,18.9,94.24,1670,23.13,-0.34,Poor,Healthy
7.71,2733,25.4,37.3,3.07,7.33,170,3.5,37.8,93.78,2563,21.9,-0.38,Poor,Healthy
8.29,3478,12.65,37.2,3.5,7.26,305,3.72,37.5,91.23,3173,8.93,-1.03,Poor,Healthy
8.33,1469,1.19,24.8,3.97,7.39,510,0.26,25,65.28,959,0.93,-0.94,Acceptable,Needs Cleaning
8.42,1379,4.73,32.4,1.42,6.87,755,0.46,33,45.25,624,4.27,-1.55,Acceptable,Replace
8.07,3844,1.19,34.1,3.44,7.43,1311,0.08,34.2,65.89,2533,1.11,-0.64,Poor,Needs Cleaning
7.75,4102,21.61,23.3,3.63,6.8,314,5.97,22.9,92.35,3788,15.64,-0.95,Poor,Healthy
8.61,3668,29.27,29.2,4.7,7,417,4.91,30.2,88.63,3251,24.36,-1.61,Poor,Healthy
7.03,2204,11.68,34.8,1.76,7.37,1204,1.25,34.2,45.37,1000,10.43,0.34,Poor,Replace
7.25,3698,47.67,37.4,1.58,7.11,1845,3.35,38.4,50.11,1853,44.32,-0.14,Poor,Replace
7.54,2759,30.51,16.4,4.71,6.91,789,4.63,16.2,71.4,1970,25.88,-0.63,Poor,Needs Cleaning
7.61,1746,14.87,36.2,5.45,7.2,235,3.11,35.4,86.54,1511,11.76,-0.41,Poor,Healthy
7.06,3642,30.69,22.8,5.56,7.29,1058,6.92,23,70.95,2584,23.77,0.23,Poor,Needs Cleaning
8.55,3300,19.53,18,5.13,6.7,881,2.46,18.8,73.3,2419,17.07,-1.85,Acceptable,Needs Cleaning
7.33,4263,25.62,20.5,2.09,7.3,2474,3.86,20.7,41.97,1789,21.76,-0.03,Poor,Replace
7.07,1588,6.72,23.5,3.65,6.8,688,1.21,23.5,56.68,900,5.51,-0.27,Acceptable,Replace
7.09,2902,10.25,16.3,1.96,7.03,1583,2.96,15.9,45.45,1319,7.29,-0.06,Poor,Replace
8.58,3462,10.58,21.4,1.27,7,2026,1.84,21.1,41.48,1436,8.74,-1.58,Poor,Replace
7.61,4778,12.32,33.6,3.17,7.28,1717,1.89,34.1,64.06,3061,10.43,-0.33,Poor,Needs Cleaning
7.88,4583,33.35,30.9,5.89,7,745,7.03,31.7,83.74,3838,26.32,-0.88,Poor,Needs Cleaning
8.14,3552,40.93,20.2,1.04,7.02,914,2.52,20.9,74.27,2638,38.41,-1.12,Acceptable,Needs Cleaning
7.98,2736,38.85,30.8,1.33,7.5,167,8.78,30,93.9,2569,30.07,-0.48,Poor,Healthy
7.63,1186,45.13,28,4.09,6.69,740,7,28.9,37.61,446,38.13,-0.94,Poor,Replace
6.92,4550,7.66,28.3,2.23,6.97,2378,1.76,28,47.74,2172,5.9,0.05,Poor,Replace
8.26,3605,46.78,15.9,5.31,6.66,733,2.76,15.4,79.67,2872,44.02,-1.6,Acceptable,Needs Cleaning
7.27,1931,13.91,27.1,3.25,7.08,930,2.39,27,51.84,1001,11.52,-0.19,Acceptable,Replace
8.28,1600,19.37,36.5,5.03,7.4,1051,1.69,37.2,34.31,549,17.68,-0.88,Poor,Replace
7.75,4035,1.9,28.2,3.57,6.98,1748,0.27,28.1,56.68,2287,1.63,-0.77,Poor,Replace
8.4,852,18.39,24.8,1.56,7.2,100,2.05,24.8,88.26,752,16.34,-1.2,Acceptable,Healthy
8.38,3771,29.82,22.4,2.51,6.78,1599,6.79,22.4,57.6,2172,23.03,-1.6,Poor,Replace
7.35,3665,44.4,22.9,1.88,6.68,531,5.34,22.8,85.51,3134,39.06,-0.67,Poor,Healthy
6.92,1087,17.42,29.5,5.7,6.91,517,2.7,29.4,52.44,570,14.72,-0.01,Acceptable,Replace
8.51,2970,17.72,26.8,2.75,7.24,457,4.81,25.9,84.61,2513,12.91,-1.27,Poor,Needs Cleaning
8.31,3360,35.46,23.4,4.92,7.35,531,3.85,23.7,84.2,2829,31.61,-0.96,Poor,Needs Cleaning
7.09,2170,26.65,31,4.49,7.31,957,3.51,30.9,55.9,1213,23.14,0.22,Poor,Replace
8.69,1759,30.2,20.4,2.49,6.78,196,3.74,19.4,88.86,1563,26.46,-1.91,Poor,Healthy
7.34,3513,17.08,34.6,4.46,6.7,1964,3.87,34.7,44.09,1549,13.21,-0.64,Poor,Replace
6.54,1988,44.1,24.3,3.13,7.38,258,11.46,23.8,87.02,1730,32.64,0.84,Poor,Healthy
7.8,3407,34.78,15.7,5.84,7.23,516,9.01,16.7,84.85,2891,25.77,-0.57,Poor,Needs Cleaning
6.68,1866,46.41,28,3.63,7.31,347,10.2,28.6,81.4,1519,36.21,0.63,Poor,Needs Cleaning
8.24,976,2.2,34.4,1.14,7.1,355,0.37,35.3,63.63,621,1.83,-1.14,Excellent,Needs Cleaning
8.7,4112,40.97,28,4.92,6.62,2005,6.66,28.6,51.24,2107,34.31,-2.08,Poor,Replace
7.76,2090,9.36,29.6,2.21,6.8,506,2.26,29.9,75.79,1584,7.1,-0.96,Acceptable,Needs Cleaning
8.08,2570,14.35,30.4,1.63,6.93,816,2.37,31.4,68.25,1754,11.98,-1.15,Acceptable,Needs Cleaning
6.69,2468,2.19,39.5,2.31,7.02,1500,0.66,38.8,39.22,968,1.53,0.33,Poor,Replace
7.86,965,49.38,16.9,5.61,7.34,281,8.97,16,70.88,684,40.41,-0.52,Poor,Needs Cleaning
7.82,2300,15.15,19.7,1.13,7.33,1222,2.59,19.1,46.87,1078,12.56,-0.49,Poor,Replace
7.37,3891,40.92,39.4,3.35,6.59,1640,3.94,40,57.85,2251,36.98,-0.78,Poor,Replace
8.43,2376,23.1,23.9,3.52,6.66,1031,3.15,23.9,56.61,1345,19.95,-1.77,Poor,Replace
8.57,778,19.8,38.5,2.94,6.67,84,3.11,39.4,89.2,694,16.69,-1.9,Poor,Healthy
6.56,4319,39,18.5,5.03,6.62,386,2.71,17.6,91.06,3933,36.29,0.06,Acceptable,Healthy
8.7,4811,2.59,24.6,2.35,7.1,1003,0.24,24.9,79.15,3808,2.35,-1.6,Poor,Needs Cleaning
7.57,4099,45.2,33.4,5.29,6.57,547,7.22,33.9,86.66,3552,37.98,-1,Poor,Healthy
6.86,4992,17.22,22.8,4.55,6.66,397,2.55,22.6,92.05,4595,14.67,-0.2,Acceptable,Healthy
6.71,3935,11.85,19.6,5.56,6.52,379,2.52,19.3,90.37,3556,9.33,-0.19,Acceptable,Healthy
7.42,3441,28.6,22.1,5.32,6.57,808,8.43,23,76.52,2633,20.17,-0.85,Poor,Needs Cleaning
7.2,739,46.78,36,4.58,7.01,156,13.75,35.8,78.89,583,33.03,-0.19,Poor,Needs Cleaning
7.25,1716,30.14,17.9,2.86,7.27,822,2.29,18.1,52.1,894,27.85,0.02,Acceptable,Replace
6.61,1185,20.72,21.2,1.41,7.49,407,4.62,21.3,65.65,778,16.1,0.88,Poor,Needs Cleaning
7.49,1143,26.08,31.8,4.37,7.38,482,2.97,31.7,57.83,661,23.11,-0.11,Acceptable,Replace
8.78,981,33.88,34,3.83,7.14,86,3.62,34.7,91.23,895,30.26,-1.64,Poor,Healthy
8.74,1956,37.94,18.2,3.86,7.23,165,6.12,17.3,91.56,1791,31.82,-1.51,Poor,Healthy
6.8,3835,38.76,34.2,5.11,7.08,437,5.78,34,88.6,3398,32.98,0.28,Poor,Healthy
8.01,3350,45.87,24.2,5.45,6.95,220,12.04,23.9,93.43,3130,33.83,-1.06,Poor,Healthy
6.56,1780,31.56,37.9,4.46,7.43,1009,7.84,37.5,43.31,771,23.72,0.87,Poor,Replace
7.18,3274,40.01,31.2,2.15,6.68,533,11.44,31.2,83.72,2741,28.57,-0.5,Poor,Needs Cleaning
8.46,983,25.73,33,2.57,7.03,189,6.59,33.5,80.77,794,19.14,-1.43,Poor,Needs Cleaning
8.49,3616,27.15,34.1,2.72,7.11,443,8.07,34.6,87.75,3173,19.08,-1.38,Poor,Healthy
7.69,2371,25.27,16.2,5.04,6.85,1398,6.48,16.9,41.04,973,18.79,-0.84,Poor,Replace
7.66,2840,45.7,31.6,2.59,6.64,254,10.27,31.1,91.06,2586,35.43,-1.02,Poor,Healthy
8.49,3495,36.23,29.6,1.51,7.08,1733,7.51,29.4,50.41,1762,28.72,-1.41,Poor,Replace
7.39,3699,20.5,37,3.18,6.6,1414,3.19,36.3,61.77,2285,17.31,-0.79,Poor,Needs Cleaning
7.81,2118,16.28,27.8,3.81,7.48,176,4.11,27.6,91.69,1942,12.17,-0.33,Poor,Healthy
8.27,1728,18.15,27,5.54,7.5,350,2.22,27.6,79.75,1378,15.93,-0.77,Acceptable,Needs Cleaning
7.63,1399,46.5,31.5,5.1,6.65,580,13.14,32,58.54,819,33.36,-0.98,Poor,Replace
7.82,2349,32.52,16.8,3.48,6.96,1510,4.19,17.5,35.72,839,28.33,-0.86,Poor,Replace
8.55,4816,26.44,20.4,5.07,6.8,2740,6.89,19.9,43.11,2076,19.55,-1.75,Poor,Replace
7.71,3147,44.15,35.4,5.03,7.16,2196,7.53,35,30.22,951,36.62,-0.55,Poor,Replace
7.41,854,35.99,39.7,3.77,7.43,446,9.56,40.5,47.78,408,26.43,0.02,Poor,Replace
6.96,1790,20.94,24.7,3.78,6.82,422,3.09,25.2,76.42,1368,17.85,-0.14,Poor,Needs Cleaning
6.72,2738,35.3,18.9,3.68,6.6,948,4.58,19.4,65.38,1790,30.72,-0.12,Poor,Needs Cleaning
8.5,4206,29.6,30.4,5.76,6.58,497,2.27,30.5,88.18,3709,27.33,-1.92,Acceptable,Healthy
6.88,3565,27.35,26.6,1.36,7.22,1039,2.01,26.1,70.86,2526,25.34,0.34,Poor,Needs Cleaning
7.9,969,40.5,26.9,2.5,6.89,664,6.68,25.9,31.48,305,33.82,-1.01,Poor,Replace
7.72,3679,45.79,20.4,4.34,7.44,2467,7.72,21.3,32.94,1212,38.07,-0.28,Poor,Replace
7.37,644,46.18,25.6,2.74,6.61,400,9.62,25.6,37.89,244,36.56,-0.76,Poor,Replace
7.05,3463,13.75,19.9,1.63,7.23,361,1.36,20.3,89.58,3102,12.39,0.18,Acceptable,Healthy
7.24,1277,12.75,32.5,4.62,6.96,360,1.06,33.2,71.81,917,11.69,-0.28,Acceptable,Needs Cleaning
7.97,3505,49.24,31,4.81,7.33,395,11.64,30.1,88.73,3110,37.6,-0.64,Poor,Healthy
8.65,2944,9.48,17.3,5.64,6.64,208,2.07,16.6,92.93,2736,7.41,-2.01,Acceptable,Healthy
6.93,1997,9.65,31.1,5.54,7.32,544,0.8,31.3,72.76,1453,8.85,0.39,Acceptable,Needs Cleaning
7.36,1819,45.95,19.9,4.33,6.8,1201,6.53,19,33.97,618,39.42,-0.56,Poor,Replace
7.53,1272,28.69,36.5,1.44,6.64,531,2.65,35.7,58.25,741,26.04,-0.89,Acceptable,Replace
7.62,4529,48.47,19.2,2.72,6.61,3106,8.38,20,31.42,1423,40.09,-1.01,Poor,Replace
8.26,4070,27.69,34,1.44,6.76,1685,5.03,34.9,58.6,2385,22.66,-1.5,Poor,Replace
8.58,3359,12.39,18.7,4.93,6.6,610,2.3,19,81.84,2749,10.09,-1.98,Acceptable,Needs Cleaning
7.14,1193,20.37,34.6,1.24,6.55,762,3.95,34.4,36.13,431,16.42,-0.59,Poor,Replace
7.21,2445,35.78,30.6,5.78,6.58,359,7.14,31,85.32,2086,28.64,-0.63,Poor,Healthy
7.12,4932,45.88,30.6,2.9,7.18,765,13.43,30.1,84.49,4167,32.45,0.06,Poor,Needs Cleaning
6.97,4813,25.61,18.2,5.22,7.24,2256,1.47,18.8,53.13,2557,24.14,0.27,Poor,Replace
8.68,3324,4.42,34.5,4.62,6.77,352,0.32,34.4,89.41,2972,4.1,-1.91,Excellent,Healthy
7.56,2392,49.7,36.4,4.95,7.27,202,3.74,35.4,91.56,2190,45.96,-0.29,Poor,Healthy
8.27,697,42.25,34.8,5.51,7.07,60,7.52,34.5,91.39,637,34.73,-1.2,Poor,Healthy
6.96,2417,19.93,37,5.37,6.97,810,2.91,37,66.49,1607,17.02,0.01,Acceptable,Needs Cleaning
7.13,2575,47.32,28.4,2.09,7.46,416,11.39,27.6,83.84,2159,35.93,0.33,Poor,Needs Cleaning
8.21,2005,34.48,16.2,4.39,7.39,247,6.39,16.4,87.68,1758,28.09,-0.82,Poor,Healthy
7.76,2236,28.93,24.1,5.07,7.4,1228,7.14,23.8,45.08,1008,21.79,-0.36,Poor,Replace
7.3,3015,21.67,26.2,5.1,7.41,1782,4.18,26.5,40.9,1233,17.49,0.11,Poor,Replace
6.95,2252,39.66,34.2,1.53,6.87,155,4.55,33.4,93.12,2097,35.11,-0.08,Poor,Healthy
7.25,4429,21.91,39.1,1.29,6.74,1420,6.13,38.2,67.94,3009,15.78,-0.51,Poor,Needs Cleaning
7.62,557,8.05,16,1.17,6.91,94,1.2,15.7,83.12,463,6.85,-0.71,Acceptable,Needs Cleaning
8.08,1886,32.49,23.3,3.53,7.39,1178,5.97,23.4,37.54,708,26.52,-0.69,Poor,Replace
8.24,3430,8.76,18.7,4,6.96,448,1.97,18.6,86.94,2982,6.79,-1.28,Acceptable,Healthy
8.2,4166,47.26,28.8,3.45,7.18,376,9.22,27.9,90.97,3790,38.04,-1.02,Poor,Healthy
7.32,3392,12.17,23.4,5.76,7.03,428,1.38,23.8,87.38,2964,10.79,-0.29,Acceptable,Healthy
8.73,3545,32.9,35,1.52,6.59,1156,7.51,34.5,67.39,2389,25.39,-2.14,Poor,Needs Cleaning
8.45,2588,12.88,18.4,5.78,6.74,967,1.21,18.5,62.64,1621,11.67,-1.71,Acceptable,Needs Cleaning
8.73,1833,1.6,37.7,4.8,6.7,482,0.14,38.4,73.7,1351,1.46,-2.03,Excellent,Needs Cleaning
7.7,1417,33.65,19.3,1.38,6.88,262,4.13,18.3,81.51,1155,29.52,-0.82,Poor,Needs Cleaning
8.75,1806,32.53,17.5,3.56,6.9,671,8.57,16.7,62.85,1135,23.96,-1.85,Poor,Needs Cleaning
8.44,993,4.31,38.7,2.82,6.58,126,0.53,38.1,87.31,867,3.78,-1.86,Excellent,Healthy
8.08,2347,5.54,28.3,2.49,7.06,860,0.83,29.2,63.36,1487,4.71,-1.02,Acceptable,Needs Cleaning
8.44,3361,33.82,29.2,4.05,7.39,1102,3.84,29.7,67.21,2259,29.98,-1.05,Poor,Needs Cleaning
7.78,1256,8,23.5,5.33,6.57,628,1.8,22.7,50,628,6.2,-1.21,Acceptable,Replace
7.14,3886,13.51,34.8,2.96,7.42,2348,2.46,34.1,39.58,1538,11.05,0.28,Poor,Replace
7.46,1312,20.54,39.9,2.29,6.92,160,3.5,40,87.8,1152,17.04,-0.54,Poor,Healthy
8.05,1726,12,22.1,4.78,6.63,1169,2.84,21.4,32.27,557,9.16,-1.42,Poor,Replace
6.66,4468,4.54,21.4,1.52,6.64,605,0.66,20.5,86.46,3863,3.88,-0.02,Acceptable,Healthy
7.89,1108,49.21,37.9,4.9,7.03,179,12.04,38.6,83.84,929,37.17,-0.86,Poor,Needs Cleaning
8.63,783,23.96,21.4,5.21,6.94,278,4.3,22.2,64.5,505,19.66,-1.69,Poor,Needs Cleaning
7.7,2695,26.83,24.3,2.32,6.85,251,4.94,23.7,90.69,2444,21.89,-0.85,Poor,Healthy
6.63,4366,29.18,37.2,1.65,6.91,1059,2.77,36.8,75.74,3307,26.41,0.28,Poor,Needs Cleaning
8.76,4377,11.75,15.3,5.26,6.7,573,1.88,14.8,86.91,3804,9.87,-2.06,Acceptable,Healthy
7,2062,3.33,37.2,3.84,6.88,1347,0.51,36.6,34.68,715,2.82,-0.12,Poor,Replace
8.02,506,43.69,38.1,1.85,7.12,232,8.29,38.2,54.15,274,35.4,-0.9,Poor,Replace
8.76,1055,22.45,29.3,1.46,6.72,95,2.04,30.2,91,960,20.41,-2.04,Acceptable,Healthy
6.8,539,2.71,34.5,4.72,6.96,93,0.71,34.7,82.75,446,2,0.16,Excellent,Needs Cleaning
8.46,2891,16.41,20.8,1.46,7.43,198,1.36,20.4,93.15,2693,15.05,-1.03,Acceptable,Healthy
8.04,2250,48.8,15.9,3.97,6.65,1571,10.37,15.6,30.18,679,38.43,-1.39,Poor,Replace
8.02,3494,20.26,35.5,1.85,7.13,1382,2.03,35.8,60.45,2112,18.23,-0.89,Poor,Needs Cleaning
8.3,507,23.67,28.7,4.05,7.09,44,4.63,28.8,91.32,463,19.04,-1.21,Poor,Healthy
8.33,1979,20.53,20.1,1.03,7.01,1102,2.47,20.7,44.32,877,18.06,-1.32,Poor,Replace
7.58,2478,3.38,39.9,1.28,7.46,1677,0.21,39.3,32.32,801,3.17,-0.12,Poor,Replace
7.04,1682,1.83,31.5,3.83,7.03,254,0.31,32.2,84.9,1428,1.52,-0.01,Excellent,Needs Cleaning
6.77,3473,24.42,19.1,2.32,7.08,311,5.28,19.1,91.05,3162,19.14,0.31,Poor,Healthy
7.21,1845,3.78,20.2,3.58,6.68,681,0.78,19.7,63.09,1164,3,-0.53,Acceptable,Needs Cleaning
8.09,826,1.58,23.8,5.65,7.46,522,0.28,23,36.8,304,1.3,-0.63,Acceptable,Replace
7.06,3612,7.58,28.9,2.64,7.19,2505,1.9,28.7,30.65,1107,5.68,0.13,Poor,Replace
7.75,820,3.4,18.6,4.85,7.42,172,1.02,19.1,79.02,648,2.38,-0.33,Acceptable,Needs Cleaning
6.74,4185,16.92,23.1,3.37,7.41,306,1.63,22.7,92.69,3879,15.29,0.67,Acceptable,Healthy
8.08,604,4.93,38.4,3.62,6.53,32,1.29,38,94.7,572,3.64,-1.55,Acceptable,Healthy
8.39,2839,43.95,20.2,2.34,6.51,1101,5.99,21,61.22,1738,37.96,-1.88,Poor,Needs Cleaning
6.78,1583,3.25,26.7,4.81,6.58,320,0.88,27.5,79.79,1263,2.37,-0.2,Excellent,Needs Cleaning
7.59,1286,27.76,25.7,5.45,6.74,621,4.75,25.5,51.71,665,23.01,-0.85,Poor,Replace
7.7,3405,31.06,39,5.37,7.21,360,7.81,38.5,89.43,3045,23.25,-0.49,Poor,Healthy
6.72,4142,29.41,15.2,5.19,6.53,1577,8.4,15.1,61.93,2565,21.01,-0.19,Poor,Needs Cleaning
8.03,2243,6.43,31.7,3.14,6.97,1366,1.81,30.9,39.1,877,4.62,-1.06,Poor,Replace
7.35,3947,42.36,17.9,1.18,6.92,2732,6.25,18.5,30.78,1215,36.11,-0.43,Poor,Replace
8.26,3056,30.58,32.5,3.7,6.94,589,2.26,32.8,80.73,2467,28.32,-1.32,Acceptable,Needs Cleaning
6.54,1854,13.78,37.3,2.41,6.95,953,0.69,36.8,48.6,901,13.09,0.41,Acceptable,Replace
6.83,2717,20.94,18.2,3.88,6.54,1472,2.49,17.3,45.82,1245,18.45,-0.29,Poor,Replace
8.36,1401,12.46,27.3,4.72,7.28,206,1.27,27.4,85.3,1195,11.19,-1.08,Acceptable,Healthy
7.69,2917,16.11,16.1,4.13,7.09,1897,1.85,16.5,34.97,1020,14.26,-0.6,Poor,Replace
8.57,2061,43.93,23.8,2.58,7.47,1006,7.48,23.4,51.19,1055,36.45,-1.1,Poor,Replace
8.41,767,37,27,5.44,6.82,500,8.87,27.4,34.81,267,28.13,-1.59,Poor,Replace
7.96,2539,8.42,29,2.48,6.56,1162,1.13,28.9,54.23,1377,7.29,-1.4,Poor,Replace
7.07,3905,17.75,24.5,4.07,7.31,2654,1.75,25.2,32.04,1251,16,0.24,Poor,Replace
8.58,3254,47.51,26.8,5.98,6.57,1090,12.87,26.8,66.5,2164,34.64,-2.01,Poor,Needs Cleaning
6.59,3128,14.72,27.3,1.55,7.11,209,3.82,27.3,93.32,2919,10.9,0.52,Poor,Healthy
7.5,4875,43.48,19.5,3,6.59,3086,12.73,19.5,36.7,1789,30.75,-0.91,Poor,Replace
7.93,2583,2.22,16.9,3.06,7.39,662,0.43,15.9,74.37,1921,1.79,-0.54,Acceptable,Needs Cleaning
8.57,814,49.21,19.6,2.89,7.41,88,4.03,19.9,89.19,726,45.18,-1.16,Poor,Healthy
6.81,3150,29.2,31.1,4.87,6.79,1587,8.63,31.6,49.62,1563,20.57,-0.02,Poor,Replace
6.59,3066,19.81,22.1,2.53,7.29,716,1.52,22.4,76.65,2350,18.29,0.7,Acceptable,Needs Cleaning
6.91,3552,48.22,15.7,2.64,6.61,218,12.92,15.3,93.86,3334,35.3,-0.3,Poor,Healthy
7.21,2181,25.24,26.7,3.02,6.72,493,2.1,27.4,77.4,1688,23.14,-0.49,Acceptable,Needs Cleaning
6.79,3507,39.84,17.2,3.1,6.86,2235,3.3,18.1,36.27,1272,36.54,0.07,Poor,Replace
7.33,3916,7.77,19.1,1.37,6.7,1707,0.47,18.7,56.41,2209,7.3,-0.63,Poor,Replace
7.12,4388,4.81,25.7,2.39,6.55,435,0.68,26.4,90.09,3953,4.13,-0.57,Excellent,Healthy
6.98,2226,12.94,34.4,2.22,6.69,274,3.3,34.2,87.69,1952,9.64,-0.29,Poor,Healthy
7.65,4907,21.25,36.5,1.47,7.14,2887,6,37.5,41.17,2020,15.25,-0.51,Poor,Replace
6.77,3583,21.88,30.2,2.69,6.97,1991,3.48,29.5,44.43,1592,18.4,0.2,Poor,Replace
7.39,571,24.46,30.2,5.62,7.4,60,3.51,30.7,89.49,511,20.95,0.01,Poor,Healthy
8.53,3578,5.45,35,3.65,7.18,2265,0.67,35.8,36.7,1313,4.78,-1.35,Poor,Replace
7.58,4180,45.68,27.8,1.75,7.23,218,8.79,28.7,94.78,3962,36.89,-0.35,Poor,Healthy
7.63,3558,28.23,28.7,3.51,7.45,440,3.94,29.1,87.63,3118,24.29,-0.18,Poor,Healthy
8.36,4740,20.24,29.3,1.61,6.81,1952,5.32,30,58.82,2788,14.92,-1.55,Poor,Replace
7.16,1733,17.19,27.1,2.84,7.39,1146,2.46,26.7,33.87,587,14.73,0.23,Poor,Replace
7.86,3264,20.3,36.4,4.18,6.66,612,5.54,36.1,81.25,2652,14.76,-1.2,Poor,Needs Cleaning
8.38,1542,11.4,16.4,2.54,6.72,78,2.55,15.4,94.94,1464,8.85,-1.66,Acceptable,Healthy
8.72,1267,19.94,22.5,3.68,7.27,608,2.43,21.9,52.01,659,17.51,-1.45,Acceptable,Replace
6.73,3749,14.75,19.3,5.66,7.28,757,0.86,18.4,79.81,2992,13.89,0.55,Acceptable,Needs Cleaning
7.98,1254,38.51,27.1,4.46,7.16,312,6.85,27.9,75.12,942,31.66,-0.82,Poor,Needs Cleaning
7.95,701,26.76,31.2,3.4,7.01,191,7.95,31.7,72.75,510,18.81,-0.94,Poor,Needs Cleaning
8.73,4618,25.04,18.1,1.22,6.69,690,6.71,18.7,85.06,3928,18.33,-2.04,Poor,Healthy
7.14,3720,18.15,27,3.11,6.87,1363,2.82,27.8,63.36,2357,15.33,-0.27,Poor,Needs Cleaning
8.47,2754,4.12,31.3,2.14,6.85,1221,0.26,30.7,55.66,1533,3.86,-1.62,Poor,Replace
8.7,678,29.92,32.8,2.58,6.66,48,6.16,33.2,92.92,630,23.76,-2.04,Poor,Healthy
7.71,4180,8.32,15.6,2.89,7.15,1930,1.57,15.8,53.83,2250,6.75,-0.56,Poor,Replace
7.68,3022,30.6,32.1,5.81,7.2,986,4.49,32.5,67.37,2036,26.11,-0.48,Poor,Needs Cleaning
7.18,1369,16.98,37.7,1.9,7.31,492,1.68,37.8,64.06,877,15.3,0.13,Acceptable,Needs Cleaning
7.24,2427,23.17,26.7,4.97,6.96,407,5.11,27.5,83.23,2020,18.06,-0.28,Poor,Needs Cleaning
8.75,798,24.36,39.7,5.47,7.32,200,4.73,40.2,74.94,598,19.63,-1.43,Poor,Needs Cleaning
7.8,1684,8.15,34.8,2.73,7.43,291,1.56,34.8,82.72,1393,6.59,-0.37,Acceptable,Needs Cleaning
8.06,3116,33.92,37,4.75,7.22,390,5.78,37.1,87.48,2726,28.14,-0.84,Poor,Healthy
7.15,4398,7.77,25.5,4.88,7.37,2884,1.15,26.4,34.42,1514,6.62,0.22,Poor,Replace
8.58,3681,38.91,39.6,1.13,6.88,2136,2.85,40.2,41.97,1545,36.06,-1.7,Poor,Replace
7.61,861,29.93,20.3,1.6,7.08,87,8.46,20.1,89.9,774,21.47,-0.53,Poor,Healthy
6.92,1520,42.29,26.3,5.66,7.38,755,2.65,25.7,50.33,765,39.64,0.46,Acceptable,Replace
6.6,2768,39.56,24.6,5.12,7.38,1835,7.37,25.5,33.71,933,32.19,0.78,Poor,Replace
7.66,1892,40.86,36.4,5.98,6.89,841,6.39,37,55.55,1051,34.47,-0.77,Poor,Replace
6.83,2487,20.65,26.4,4.59,7,591,3.34,26.6,76.24,1896,17.31,0.17,Poor,Needs Cleaning
7.97,1437,42.51,31.9,3.23,7.08,122,3.83,31,91.51,1315,38.68,-0.89,Poor,Healthy
